Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"3,375,130","1,675,855","1,699,275"
Occupation - not applicable 13,"953,020","401,960","551,055"
All occupations 14,"2,422,110","1,273,895","1,148,215"
0 Legislative and senior management occupations,"24,445","17,320","7,125"
00 Legislative and senior managers,"24,445","17,320","7,125"
000 Legislative and senior managers,"24,445","17,320","7,125"
0001 Legislative and senior managers,"24,445","17,320","7,125"
00010 Legislators,"1,165",610,550
00018 Seniors managers - public and private sector 15,"23,285","16,710","6,580"
"1 Business, finance and administration occupations","403,300","117,240","286,065"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","43,725","20,185","23,540"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","43,725","20,185","23,540"
1001 Administrative services managers,"21,425","9,455","11,970"
10010 Financial managers,"6,970","2,720","4,250"
10011 Human resources managers,"5,785","2,070","3,710"
10012 Purchasing managers,"3,460","2,215","1,245"
10019 Other administrative services managers,"5,210","2,445","2,755"
1002 Managers in financial and business services,"21,180","9,930","11,245"
"10020 Insurance, real estate and financial brokerage managers","3,580","2,055","1,520"
"10021 Banking, credit and other investment managers","7,015","3,335","3,680"
"10022 Advertising, marketing and public relations managers","7,635","3,040","4,590"
10029 Other business services managers,"2,950","1,500","1,455"
1003 Managers in communication (except broadcasting),"1,125",795,325
10030 Telecommunication carriers managers,"1,125",795,325
11 Professional occupations in finance and business,"82,695","35,730","46,965"
111 Professional occupations in finance,"46,865","22,145","24,720"
"1110 Auditors, accountants and investment professionals","46,865","22,145","24,720"
11100 Financial auditors and accountants,"27,920","11,940","15,980"
11101 Financial and investment analysts,"3,995","2,395","1,600"
11102 Financial advisors,"10,950","5,655","5,300"
"11103 Securities agents, investment dealers and brokers","1,570","1,165",405
11109 Other financial officers,"2,425",990,"1,435"
112 Professional occupations in business,"35,830","13,590","22,245"
1120 Human resources and business service professionals,"35,830","13,590","22,245"
11200 Human resources professionals,"9,915","2,300","7,615"
11201 Professional occupations in business management consulting,"11,535","6,585","4,950"
"11202 Professional occupations in advertising, marketing and public relations","14,385","4,705","9,680"
12 Administrative and financial supervisors and specialized administrative occupations,"63,510","16,450","47,055"
120 Administrative and financial supervisors,"9,135","4,120","5,010"
1201 Administrative and financial supervisors,"9,135","4,120","5,010"
"12010 Supervisors, general office and administrative support workers","3,100","1,105","2,000"
"12011 Supervisors, finance and insurance office workers","2,055",295,"1,760"
"12012 Supervisors, library, correspondence and related information workers",415,135,280
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","3,560","2,585",975
121 Specialized administrative occupations,"25,495","7,080","18,415"
1210 Administrative and regulatory occupations,"22,345","6,585","15,760"
12100 Executive assistants,"5,055",340,"4,715"
12101 Human resources and recruitment officers,"3,585",985,"2,600"
12102 Procurement and purchasing agents and officers,"8,575","3,730","4,845"
12103 Conference and event planners,"2,395",570,"1,825"
12104 Employment insurance and revenue officers,"2,730",960,"1,770"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","3,150",490,"2,655"
"12110 Court reporters, medical transcriptionists and related occupations","1,415",105,"1,310"
12111 Health information management occupations,575,40,535
12112 Records management technicians,590,140,450
12113 Statistical officers and related research support occupations,565,205,365
"122 Accounting, insurance and related business administrative occupations","28,880","5,250","23,630"
"1220 Accounting, insurance and related business administrative occupations","28,880","5,250","23,630"
12200 Accounting technicians and bookkeepers,"22,320","2,320","20,000"
12201 Insurance adjusters and claims examiners,"3,120","1,235","1,885"
12202 Insurance underwriters,"1,755",535,"1,215"
"12203 Assessors, business valuators and appraisers","1,690","1,160",530
13 Administrative occupations and transportation logistics occupations,"93,420","12,090","81,330"
131 Administrative occupations,"87,605","8,895","78,710"
"1310 Administrative, property and payroll officers","46,135","6,830","39,310"
13100 Administrative officers,"34,785","4,070","30,715"
13101 Property administrators,"5,885","2,315","3,570"
13102 Payroll administrators,"5,470",445,"5,025"
"1311 Office administrative assistants - general, legal and medical","41,465","2,065","39,400"
13110 Administrative assistants,"30,430","1,535","28,900"
13111 Legal administrative assistants,"6,300",355,"5,945"
13112 Medical administrative assistants,"4,735",185,"4,555"
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"5,820","3,195","2,620"
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"5,820","3,195","2,620"
"13200 Customs, ship and other brokers",180,35,150
13201 Production and transportation logistics coordinators,"5,635","3,160","2,480"
14 Administrative and financial support and supply chain logistics occupations,"119,955","32,780","87,175"
"141 Office, court, and data support occupations","57,965","6,935","51,025"
1410 Office support and court services occupations,"49,455","4,955","44,495"
14100 General office support workers,"25,725","3,585","22,145"
14101 Receptionists,"22,080","1,125","20,955"
14102 Personnel clerks,975,165,805
14103 Court clerks and related court services occupations,675,85,590
"1411 Survey, statistical and data entry occupations","8,510","1,985","6,530"
14110 Survey interviewers and statistical clerks,"2,030",735,"1,300"
14111 Data entry clerks,"6,375","1,220","5,160"
14112 Desktop publishing operators and related occupations,105,35,70
"142 Financial, insurance and related administrative support workers","24,555","4,065","20,490"
"1420 Financial, insurance and related administrative support workers","24,555","4,065","20,490"
14200 Accounting and related clerks,"22,265","3,665","18,605"
"14201 Banking, insurance and other financial clerks","1,415",255,"1,160"
14202 Collection clerks,875,145,725
"143 Library, correspondence and other clerks","5,035",910,"4,120"
"1430 Library, correspondence and other clerks","5,035",910,"4,120"
14300 Library assistants and clerks,"1,930",300,"1,625"
"14301 Correspondence, publication and regulatory clerks","3,105",605,"2,495"
"144 Supply chain logistics, tracking and scheduling coordination occupations","32,400","20,860","11,535"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","32,400","20,860","11,535"
14400 Shippers and receivers,"15,135","10,955","4,180"
14401 Storekeepers and partspersons,"7,230","5,170","2,065"
14402 Production logistics workers,905,450,460
14403 Purchasing and inventory control workers,"4,310","2,165","2,145"
14404 Dispatchers,"4,330","1,895","2,440"
14405 Transportation route and crew schedulers,485,235,245
2 Natural and applied sciences and related occupations,"192,305","147,700","44,610"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","14,285","10,930","3,355"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","14,285","10,930","3,355"
"2001 Managers in engineering, architecture, science and information systems","14,285","10,930","3,355"
20010 Engineering managers,"5,460","4,490",965
20011 Architecture and science managers,"1,595",910,680
20012 Computer and information systems managers,"7,235","5,525","1,710"
21 Professional occupations in natural and applied sciences,"104,845","78,795","26,045"
211 Professional occupations in natural sciences,"15,630","9,465","6,160"
2110 Physical science professionals,"6,020","4,270","1,750"
21100 Physicists and astronomers,165,135,30
21101 Chemists,"1,745","1,045",705
21102 Geoscientists and oceanographers,"3,905","2,945",960
21103 Meteorologists and climatologists,115,95,15
21109 Other professional occupations in physical sciences,90,50,40
2111 Life science professionals,"5,530","2,805","2,730"
21110 Biologists and related scientists,"3,810","1,720","2,085"
21111 Forestry professionals,480,325,155
"21112 Agricultural representatives, consultants and specialists","1,245",760,485
2112 Public and environmental health and safety professionals,"4,080","2,395","1,685"
21120 Public and environmental health and safety professionals,"4,080","2,395","1,685"
212 Professional occupations in applied sciences (except engineering),"48,420","35,480","12,935"
"2120 Architects, urban planners and land surveyors","5,775","3,980","1,795"
21200 Architects,"1,240",850,390
21201 Landscape architects,190,130,60
21202 Urban and land use planners,"3,075","1,830","1,250"
21203 Land surveyors,"1,275","1,170",100
"2121 Mathematicians, statisticians, actuaries and data scientists","1,940","1,255",690
"21210 Mathematicians, statisticians and actuaries",530,310,220
21211 Data scientists,"1,415",945,465
2122 Computer and information systems professionals,"21,090","14,520","6,570"
21220 Cybersecurity specialists,"1,020",795,225
21221 Business systems specialists,"3,490","1,865","1,625"
21222 Information systems specialists,"14,115","10,520","3,590"
21223 Database analysts and data administrators,"2,470","1,340","1,135"
"2123 Computer, software and Web designers and developers","19,605","15,725","3,880"
21230 Computer systems developers and programmers,"2,230","1,795",435
21231 Software engineers and designers,"4,880","4,100",775
21232 Software developers and programmers,"7,640","6,410","1,230"
21233 Web designers,"1,125",615,505
21234 Web developers and programmers,"3,735","2,805",925
213 Professional occupations in engineering,"40,795","33,840","6,950"
2130 Civil and mechanical engineers,"19,120","16,055","3,065"
21300 Civil engineers,"10,435","8,410","2,030"
21301 Mechanical engineers,"8,685","7,650","1,040"
"2131 Electrical, electronics and computer engineers","9,145","7,905","1,230"
21310 Electrical and electronics engineers,"7,055","6,110",945
21311 Computer engineers (except software engineers and designers),"2,090","1,800",290
2132 Manufacturing and processing engineers,"6,220","4,700","1,525"
21320 Chemical engineers,"3,715","2,735",985
21321 Industrial and manufacturing engineers,"1,850","1,435",415
21322 Metallurgical and materials engineers,655,530,125
2133 Natural resources engineers,"5,895","4,830","1,065"
21330 Mining engineers,550,455,95
21331 Geological engineers,740,585,155
21332 Petroleum engineers,"4,610","3,795",810
2139 Other engineers,415,355,65
21390 Aerospace engineers,145,140,0
21399 Other professional engineers,275,215,60
22 Technical occupations related to natural and applied sciences,"73,180","57,975","15,210"
221 Technical occupations related to natural sciences,"8,990","5,975","3,015"
2210 Technical occupations in physical sciences,"3,670","2,545","1,120"
22100 Chemical technologists and technicians,"1,505",825,680
22101 Geological and mineral technologists and technicians,"2,160","1,720",440
2211 Technical occupations in life sciences,"5,320","3,430","1,890"
22110 Biological technologists and technicians,"1,020",475,545
22111 Agricultural and fish products inspectors,465,305,155
22112 Forestry technologists and technicians,480,350,125
22113 Conservation and fishery officers,280,220,60
22114 Landscape and horticulture technicians and specialists,"3,070","2,070","1,000"
222 Technical occupations related to applied sciences (except engineering),"34,185","25,445","8,745"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","9,515","6,495","3,020"
22210 Architectural technologists and technicians,"1,525",890,635
22211 Industrial designers,740,450,290
22212 Drafting technologists and technicians,"5,010","3,485","1,525"
22213 Land survey technologists and technicians,545,495,50
22214 Technical occupations in geomatics and meteorology,"1,695","1,170",525
2222 Technical occupations in computer and information systems,"12,620","9,800","2,825"
22220 Computer network and web technicians,"6,380","5,400",980
22221 User support technicians,"5,615","4,040","1,575"
22222 Information systems testing technicians,630,355,275
2223 Technical inspectors and regulatory officers,"12,045","9,150","2,895"
22230 Non-destructive testers and inspectors,"3,145","2,845",300
22231 Engineering inspectors and regulatory officers,"1,340",990,345
22232 Occupational health and safety specialists,"4,130","2,475","1,655"
22233 Construction inspectors,"3,440","2,840",595
223 Technical occupations related to engineering,"30,010","26,560","3,450"
"2230 Technical occupations in civil, mechanical and industrial engineering","12,990","10,815","2,165"
22300 Civil engineering technologists and technicians,"3,480","2,705",775
22301 Mechanical engineering technologists and technicians,"3,130","2,935",195
22302 Industrial engineering and manufacturing technologists and technicians,"1,445","1,175",265
22303 Construction estimators,"4,930","4,005",925
2231 Technical occupations in electronics and electrical engineering,"17,025","15,740","1,285"
22310 Electrical and electronics engineering technologists and technicians,"4,960","4,390",570
22311 Electronic service technicians (household and business equipment),"7,535","7,015",525
22312 Industrial instrument technicians and mechanics,"3,870","3,735",125
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",660,595,60
3 Health occupations,"193,895","36,120","157,780"
30 Specialized middle management occupations in health care,"4,260",985,"3,270"
300 Specialized middle management occupations in health care,"4,260",985,"3,270"
3001 Managers in health care,"4,260",985,"3,270"
30010 Managers in health care,"4,260",985,"3,270"
31 Professional occupations in health,"84,705","19,100","65,610"
311 Health treating and consultation services professionals,"26,655","12,285","14,370"
3110 Physicians and veterinarians,"14,225","7,690","6,530"
31100 Specialists in clinical and laboratory medicine,"4,270","2,575","1,695"
31101 Specialists in surgery,"1,215",830,385
31102 General practitioners and family physicians,"7,190","3,665","3,525"
31103 Veterinarians,"1,545",620,925
"3111 Dentists, optometrists and audiologists","5,335","2,290","3,040"
31110 Dentists,"2,830","1,785","1,040"
31111 Optometrists,840,410,430
31112 Audiologists and speech-language pathologists,"1,660",95,"1,570"
3112 Pharmacists and dietitians,"7,100","2,300","4,800"
31120 Pharmacists,"5,785","2,255","3,535"
31121 Dietitians and nutritionists,"1,315",50,"1,270"
312 Therapy and assessment professionals,"12,060","3,035","9,020"
3120 Therapy and assessment professionals,"12,060","3,035","9,020"
31200 Psychologists,"3,415",670,"2,745"
31201 Chiropractors,"1,190",815,375
31202 Physiotherapists,"3,385",900,"2,480"
31203 Occupational therapists,"2,150",220,"1,930"
31204 Kinesiologists and other professional occupations in therapy and assessment,"1,510",300,"1,210"
31209 Other professional occupations in health diagnosing and treating,415,130,280
