Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"4,200,425","2,048,395","2,152,025"
Occupation - not applicable 13,"1,344,530","576,335","768,200"
All occupations 14,"2,855,890","1,472,055","1,383,835"
0 Legislative and senior management occupations,"34,020","23,640","10,380"
00 Legislative and senior managers,"34,020","23,640","10,380"
000 Legislative and senior managers,"34,020","23,640","10,380"
0001 Legislative and senior managers,"34,020","23,640","10,380"
00010 Legislators,"1,350",685,670
00018 Seniors managers - public and private sector 15,"32,665","22,955","9,710"
"1 Business, finance and administration occupations","484,985","148,070","336,915"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","62,025","28,340","33,685"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","62,025","28,340","33,685"
1001 Administrative services managers,"26,210","11,215","14,995"
10010 Financial managers,"8,910","3,380","5,530"
10011 Human resources managers,"6,570","2,130","4,445"
10012 Purchasing managers,"3,350","2,160","1,190"
10019 Other administrative services managers,"7,380","3,545","3,830"
1002 Managers in financial and business services,"34,535","16,225","18,310"
"10020 Insurance, real estate and financial brokerage managers","7,350","4,170","3,180"
"10021 Banking, credit and other investment managers","9,325","4,160","5,160"
"10022 Advertising, marketing and public relations managers","14,220","5,915","8,305"
10029 Other business services managers,"3,645","1,980","1,660"
1003 Managers in communication (except broadcasting),"1,280",900,385
10030 Telecommunication carriers managers,"1,280",900,385
11 Professional occupations in finance and business,"105,525","47,785","57,745"
111 Professional occupations in finance,"57,955","29,140","28,815"
"1110 Auditors, accountants and investment professionals","57,955","29,140","28,815"
11100 Financial auditors and accountants,"31,290","13,875","17,415"
11101 Financial and investment analysts,"5,395","3,295","2,105"
11102 Financial advisors,"13,890","7,740","6,150"
"11103 Securities agents, investment dealers and brokers","2,655","1,970",690
11109 Other financial officers,"4,720","2,260","2,455"
112 Professional occupations in business,"47,575","18,645","28,930"
1120 Human resources and business service professionals,"47,575","18,645","28,930"
11200 Human resources professionals,"10,225","2,665","7,565"
11201 Professional occupations in business management consulting,"14,080","8,155","5,930"
"11202 Professional occupations in advertising, marketing and public relations","23,270","7,830","15,440"
12 Administrative and financial supervisors and specialized administrative occupations,"73,360","19,485","53,880"
120 Administrative and financial supervisors,"9,345","4,480","4,865"
1201 Administrative and financial supervisors,"9,345","4,480","4,865"
"12010 Supervisors, general office and administrative support workers","2,685","1,130","1,550"
"12011 Supervisors, finance and insurance office workers","2,150",425,"1,725"
"12012 Supervisors, library, correspondence and related information workers",610,155,455
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","3,905","2,765","1,135"
121 Specialized administrative occupations,"27,205","7,715","19,490"
1210 Administrative and regulatory occupations,"24,270","7,125","17,140"
12100 Executive assistants,"6,295",540,"5,755"
12101 Human resources and recruitment officers,"4,335","1,250","3,085"
12102 Procurement and purchasing agents and officers,"5,740","2,690","3,050"
12103 Conference and event planners,"3,745","1,020","2,730"
12104 Employment insurance and revenue officers,"4,155","1,625","2,525"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","2,940",590,"2,345"
"12110 Court reporters, medical transcriptionists and related occupations","1,525",130,"1,400"
12111 Health information management occupations,480,80,405
12112 Records management technicians,260,95,165
12113 Statistical officers and related research support occupations,670,295,380
"122 Accounting, insurance and related business administrative occupations","36,805","7,285","29,520"
"1220 Accounting, insurance and related business administrative occupations","36,805","7,285","29,520"
12200 Accounting technicians and bookkeepers,"28,510","3,525","24,990"
12201 Insurance adjusters and claims examiners,"4,415","1,815","2,600"
12202 Insurance underwriters,"1,815",510,"1,305"
"12203 Assessors, business valuators and appraisers","2,060","1,435",625
13 Administrative occupations and transportation logistics occupations,"110,130","17,945","92,185"
131 Administrative occupations,"103,145","14,435","88,710"
"1310 Administrative, property and payroll officers","56,035","10,925","45,115"
13100 Administrative officers,"39,605","5,275","34,330"
13101 Property administrators,"10,180","4,945","5,240"
13102 Payroll administrators,"6,245",700,"5,550"
"1311 Office administrative assistants - general, legal and medical","47,110","3,515","43,590"
13110 Administrative assistants,"33,280","2,490","30,790"
13111 Legal administrative assistants,"8,815",790,"8,025"
13112 Medical administrative assistants,"5,015",240,"4,775"
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"6,985","3,510","3,480"
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"6,985","3,510","3,480"
"13200 Customs, ship and other brokers",780,295,485
13201 Production and transportation logistics coordinators,"6,210","3,220","2,995"
14 Administrative and financial support and supply chain logistics occupations,"133,940","34,515","99,425"
"141 Office, court, and data support occupations","70,250","9,045","61,195"
1410 Office support and court services occupations,"62,020","6,930","55,090"
14100 General office support workers,"31,745","4,675","27,070"
14101 Receptionists,"27,830","1,950","25,880"
14102 Personnel clerks,"1,675",215,"1,465"
14103 Court clerks and related court services occupations,775,100,675
"1411 Survey, statistical and data entry occupations","8,225","2,115","6,110"
14110 Survey interviewers and statistical clerks,"2,485",900,"1,585"
14111 Data entry clerks,"5,655","1,155","4,495"
14112 Desktop publishing operators and related occupations,85,60,30
"142 Financial, insurance and related administrative support workers","28,485","5,325","23,160"
"1420 Financial, insurance and related administrative support workers","28,485","5,325","23,160"
14200 Accounting and related clerks,"24,870","4,440","20,435"
"14201 Banking, insurance and other financial clerks","2,335",575,"1,760"
14202 Collection clerks,"1,275",320,960
"143 Library, correspondence and other clerks","5,220","1,170","4,050"
"1430 Library, correspondence and other clerks","5,220","1,170","4,050"
14300 Library assistants and clerks,"2,325",460,"1,865"
"14301 Correspondence, publication and regulatory clerks","2,895",710,"2,185"
"144 Supply chain logistics, tracking and scheduling coordination occupations","29,990","18,970","11,020"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","29,990","18,970","11,020"
14400 Shippers and receivers,"14,310","9,910","4,395"
14401 Storekeepers and partspersons,"5,310","4,150","1,155"
14402 Production logistics workers,"1,085",515,565
14403 Purchasing and inventory control workers,"4,715","2,345","2,370"
14404 Dispatchers,"4,005","1,825","2,180"
14405 Transportation route and crew schedulers,565,215,350
2 Natural and applied sciences and related occupations,"220,820","167,105","53,710"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","17,310","12,930","4,385"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","17,310","12,930","4,385"
"2001 Managers in engineering, architecture, science and information systems","17,310","12,930","4,385"
20010 Engineering managers,"4,285","3,450",835
20011 Architecture and science managers,"2,095","1,040","1,055"
20012 Computer and information systems managers,"10,930","8,435","2,495"
21 Professional occupations in natural and applied sciences,"130,370","97,450","32,925"
211 Professional occupations in natural sciences,"17,435","10,090","7,345"
2110 Physical science professionals,"5,125","3,335","1,795"
21100 Physicists and astronomers,510,395,115
21101 Chemists,"1,835",885,950
21102 Geoscientists and oceanographers,"2,555","1,880",675
21103 Meteorologists and climatologists,150,120,35
21109 Other professional occupations in physical sciences,70,55,15
2111 Life science professionals,"9,375","5,115","4,260"
21110 Biologists and related scientists,"6,415","2,815","3,600"
21111 Forestry professionals,"2,430","1,885",545
"21112 Agricultural representatives, consultants and specialists",520,410,110
2112 Public and environmental health and safety professionals,"2,935","1,640","1,285"
21120 Public and environmental health and safety professionals,"2,935","1,640","1,285"
212 Professional occupations in applied sciences (except engineering),"80,115","59,545","20,560"
"2120 Architects, urban planners and land surveyors","8,480","5,455","3,030"
21200 Architects,"3,790","2,545","1,250"
21201 Landscape architects,335,185,150
21202 Urban and land use planners,"3,185","1,640","1,545"
21203 Land surveyors,"1,170","1,085",85
"2121 Mathematicians, statisticians, actuaries and data scientists","2,775","1,845",925
"21210 Mathematicians, statisticians and actuaries",835,445,390
21211 Data scientists,"1,935","1,400",535
2122 Computer and information systems professionals,"21,950","14,885","7,070"
21220 Cybersecurity specialists,"1,410","1,120",280
21221 Business systems specialists,"4,170","2,240","1,925"
21222 Information systems specialists,"13,785","9,965","3,820"
21223 Database analysts and data administrators,"2,595","1,560","1,040"
"2123 Computer, software and Web designers and developers","46,900","37,365","9,540"
21230 Computer systems developers and programmers,"3,670","2,975",690
21231 Software engineers and designers,"18,605","15,375","3,235"
21232 Software developers and programmers,"13,700","11,190","2,510"
21233 Web designers,"2,660","1,445","1,215"
21234 Web developers and programmers,"8,270","6,380","1,890"
213 Professional occupations in engineering,"32,825","27,810","5,020"
2130 Civil and mechanical engineers,"16,590","14,015","2,575"
21300 Civil engineers,"10,170","8,365","1,800"
21301 Mechanical engineers,"6,420","5,650",770
"2131 Electrical, electronics and computer engineers","9,365","8,285","1,080"
21310 Electrical and electronics engineers,"6,710","5,950",765
21311 Computer engineers (except software engineers and designers),"2,655","2,340",310
2132 Manufacturing and processing engineers,"2,850","2,125",725
21320 Chemical engineers,"1,115",775,340
21321 Industrial and manufacturing engineers,"1,410","1,120",295
21322 Metallurgical and materials engineers,325,235,90
2133 Natural resources engineers,"2,090","1,705",380
21330 Mining engineers,755,650,110
21331 Geological engineers,"1,160",910,250
21332 Petroleum engineers,170,150,20
2139 Other engineers,"1,930","1,675",260
21390 Aerospace engineers,240,210,35
21399 Other professional engineers,"1,690","1,465",225
22 Technical occupations related to natural and applied sciences,"73,135","56,725","16,405"
221 Technical occupations related to natural sciences,"13,000","8,705","4,290"
2210 Technical occupations in physical sciences,"2,115","1,430",685
22100 Chemical technologists and technicians,950,515,435
22101 Geological and mineral technologists and technicians,"1,160",915,245
2211 Technical occupations in life sciences,"10,885","7,275","3,610"
22110 Biological technologists and technicians,"1,830",945,890
22111 Agricultural and fish products inspectors,530,340,195
22112 Forestry technologists and technicians,"2,540","1,845",695
22113 Conservation and fishery officers,785,595,195
22114 Landscape and horticulture technicians and specialists,"5,200","3,560","1,635"
222 Technical occupations related to applied sciences (except engineering),"33,540","24,515","9,025"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","10,295","6,745","3,550"
22210 Architectural technologists and technicians,"2,065","1,315",745
22211 Industrial designers,"1,565",920,640
22212 Drafting technologists and technicians,"4,295","3,085","1,200"
22213 Land survey technologists and technicians,450,365,85
