Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"1,058,410","522,505","535,905"
Occupation - not applicable 13,"331,285","140,335","190,945"
All occupations 14,"727,130","382,170","344,955"
0 Legislative and senior management occupations,"6,705","4,385","2,320"
00 Legislative and senior managers,"6,705","4,385","2,320"
000 Legislative and senior managers,"6,705","4,385","2,320"
0001 Legislative and senior managers,"6,705","4,385","2,320"
00010 Legislators,560,345,220
00018 Seniors managers - public and private sector 15,"6,140","4,045","2,100"
"1 Business, finance and administration occupations","115,275","35,445","79,830"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","11,200","4,935","6,260"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","11,200","4,935","6,260"
1001 Administrative services managers,"5,235","2,220","3,010"
10010 Financial managers,"1,935",815,"1,125"
10011 Human resources managers,"1,580",545,"1,035"
10012 Purchasing managers,510,335,175
10019 Other administrative services managers,"1,205",525,675
1002 Managers in financial and business services,"5,690","2,530","3,160"
"10020 Insurance, real estate and financial brokerage managers","1,180",620,560
"10021 Banking, credit and other investment managers","1,700",740,960
"10022 Advertising, marketing and public relations managers","2,065",810,"1,255"
10029 Other business services managers,740,360,380
1003 Managers in communication (except broadcasting),280,190,85
10030 Telecommunication carriers managers,280,190,85
11 Professional occupations in finance and business,"20,420","9,370","11,050"
111 Professional occupations in finance,"11,540","6,065","5,475"
"1110 Auditors, accountants and investment professionals","11,540","6,065","5,475"
11100 Financial auditors and accountants,"6,435","3,260","3,180"
11101 Financial and investment analysts,"1,040",520,525
11102 Financial advisors,"3,055","1,745","1,310"
"11103 Securities agents, investment dealers and brokers",350,265,80
11109 Other financial officers,655,275,380
112 Professional occupations in business,"8,880","3,305","5,575"
1120 Human resources and business service professionals,"8,880","3,305","5,575"
11200 Human resources professionals,"3,250",860,"2,390"
11201 Professional occupations in business management consulting,"2,055","1,120",935
"11202 Professional occupations in advertising, marketing and public relations","3,575","1,330","2,245"
12 Administrative and financial supervisors and specialized administrative occupations,"17,715","5,200","12,515"
120 Administrative and financial supervisors,"2,655","1,220","1,435"
1201 Administrative and financial supervisors,"2,655","1,220","1,435"
"12010 Supervisors, general office and administrative support workers",590,175,415
"12011 Supervisors, finance and insurance office workers",920,210,710
"12012 Supervisors, library, correspondence and related information workers",145,60,90
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",995,775,220
121 Specialized administrative occupations,"7,345","2,270","5,075"
1210 Administrative and regulatory occupations,"6,530","2,140","4,390"
12100 Executive assistants,"1,475",125,"1,350"
12101 Human resources and recruitment officers,950,280,680
12102 Procurement and purchasing agents and officers,"1,495",795,700
12103 Conference and event planners,545,170,370
12104 Employment insurance and revenue officers,"2,065",775,"1,290"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",815,130,685
"12110 Court reporters, medical transcriptionists and related occupations",375,25,350
12111 Health information management occupations,235,15,220
12112 Records management technicians,30,10,15
12113 Statistical officers and related research support occupations,170,75,95
"122 Accounting, insurance and related business administrative occupations","7,715","1,710","6,000"
"1220 Accounting, insurance and related business administrative occupations","7,715","1,710","6,000"
12200 Accounting technicians and bookkeepers,"5,300",735,"4,565"
12201 Insurance adjusters and claims examiners,"1,305",495,810
12202 Insurance underwriters,640,170,470
"12203 Assessors, business valuators and appraisers",470,310,160
13 Administrative occupations and transportation logistics occupations,"27,035","4,295","22,735"
131 Administrative occupations,"24,750","3,120","21,630"
"1310 Administrative, property and payroll officers","12,250","2,365","9,885"
13100 Administrative officers,"8,225","1,375","6,850"
13101 Property administrators,"1,865",745,"1,115"
13102 Payroll administrators,"2,160",245,"1,920"
"1311 Office administrative assistants - general, legal and medical","12,500",755,"11,745"
13110 Administrative assistants,"9,910",605,"9,300"
13111 Legal administrative assistants,"1,450",75,"1,380"
13112 Medical administrative assistants,"1,140",75,"1,065"
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"2,285","1,180","1,110"
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"2,285","1,180","1,110"
"13200 Customs, ship and other brokers",225,50,170
13201 Production and transportation logistics coordinators,"2,060","1,120",935
14 Administrative and financial support and supply chain logistics occupations,"38,915","11,640","27,275"
"141 Office, court, and data support occupations","19,730","3,115","16,615"
1410 Office support and court services occupations,"16,350","2,225","14,125"
14100 General office support workers,"9,625","1,535","8,085"
