Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"648,250","316,950","331,300"
Occupation - not applicable 13,"224,990","98,770","126,220"
All occupations 14,"423,255","218,180","205,075"
0 Legislative and senior management occupations,"3,810","2,465","1,340"
00 Legislative and senior managers,"3,810","2,465","1,340"
000 Legislative and senior managers,"3,810","2,465","1,340"
0001 Legislative and senior managers,"3,810","2,465","1,340"
00010 Legislators,235,125,110
00018 Seniors managers - public and private sector 15,"3,575","2,340","1,230"
"1 Business, finance and administration occupations","63,420","18,285","45,135"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","6,370","2,835","3,535"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","6,370","2,835","3,535"
1001 Administrative services managers,"3,245","1,340","1,905"
10010 Financial managers,"1,145",410,735
10011 Human resources managers,840,280,570
10012 Purchasing managers,415,275,145
10019 Other administrative services managers,845,385,460
1002 Managers in financial and business services,"2,930","1,380","1,550"
"10020 Insurance, real estate and financial brokerage managers",450,225,225
"10021 Banking, credit and other investment managers",995,445,555
"10022 Advertising, marketing and public relations managers",935,435,495
10029 Other business services managers,545,270,275
1003 Managers in communication (except broadcasting),190,110,80
10030 Telecommunication carriers managers,190,110,80
11 Professional occupations in finance and business,"11,420","4,870","6,550"
111 Professional occupations in finance,"5,540","2,770","2,770"
"1110 Auditors, accountants and investment professionals","5,540","2,770","2,770"
11100 Financial auditors and accountants,"2,880","1,350","1,530"
11101 Financial and investment analysts,570,315,260
11102 Financial advisors,"1,555",885,670
"11103 Securities agents, investment dealers and brokers",195,105,90
11109 Other financial officers,345,120,220
112 Professional occupations in business,"5,875","2,100","3,780"
1120 Human resources and business service professionals,"5,875","2,100","3,780"
11200 Human resources professionals,"2,900",795,"2,110"
11201 Professional occupations in business management consulting,"1,355",775,580
"11202 Professional occupations in advertising, marketing and public relations","1,615",535,"1,085"
12 Administrative and financial supervisors and specialized administrative occupations,"9,560","2,645","6,920"
120 Administrative and financial supervisors,"1,380",685,700
1201 Administrative and financial supervisors,"1,380",685,700
"12010 Supervisors, general office and administrative support workers",400,165,230
"12011 Supervisors, finance and insurance office workers",380,85,295
"12012 Supervisors, library, correspondence and related information workers",125,50,80
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",475,380,95
121 Specialized administrative occupations,"4,100","1,070","3,025"
1210 Administrative and regulatory occupations,"3,525",980,"2,545"
12100 Executive assistants,710,65,645
12101 Human resources and recruitment officers,590,145,440
12102 Procurement and purchasing agents and officers,845,375,470
12103 Conference and event planners,220,35,185
12104 Employment insurance and revenue officers,"1,165",355,810
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",575,90,485
"12110 Court reporters, medical transcriptionists and related occupations",290,10,285
12111 Health information management occupations,140,15,125
12112 Records management technicians,45,10,40
12113 Statistical officers and related research support occupations,95,55,35
"122 Accounting, insurance and related business administrative occupations","4,080",890,"3,190"
"1220 Accounting, insurance and related business administrative occupations","4,080",890,"3,190"
12200 Accounting technicians and bookkeepers,"2,670",345,"2,325"
12201 Insurance adjusters and claims examiners,820,290,525
12202 Insurance underwriters,340,70,265
"12203 Assessors, business valuators and appraisers",255,180,70
13 Administrative occupations and transportation logistics occupations,"16,590","2,165","14,425"
131 Administrative occupations,"15,500","1,610","13,890"
"1310 Administrative, property and payroll officers","6,540","1,275","5,265"
13100 Administrative officers,"4,750",735,"4,020"
13101 Property administrators,765,430,340
13102 Payroll administrators,"1,030",115,915
"1311 Office administrative assistants - general, legal and medical","8,960",335,"8,625"
13110 Administrative assistants,"7,200",260,"6,945"
13111 Legal administrative assistants,655,30,625
13112 Medical administrative assistants,"1,110",45,"1,060"
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"1,090",555,530
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"1,090",555,530
"13200 Customs, ship and other brokers",260,100,160
13201 Production and transportation logistics coordinators,830,460,370
14 Administrative and financial support and supply chain logistics occupations,"19,480","5,775","13,710"
"141 Office, court, and data support occupations","9,890","1,595","8,300"
1410 Office support and court services occupations,"8,130","1,070","7,060"
14100 General office support workers,"4,180",620,"3,560"
14101 Receptionists,"3,660",425,"3,240"
14102 Personnel clerks,215,20,195
14103 Court clerks and related court services occupations,75,10,65
"1411 Survey, statistical and data entry occupations","1,760",520,"1,235"
14110 Survey interviewers and statistical clerks,675,240,435
14111 Data entry clerks,"1,055",255,795
14112 Desktop publishing operators and related occupations,35,20,10
"142 Financial, insurance and related administrative support workers","4,145",730,"3,410"
"1420 Financial, insurance and related administrative support workers","4,145",730,"3,410"
14200 Accounting and related clerks,"3,450",590,"2,865"
"14201 Banking, insurance and other financial clerks",500,105,390
14202 Collection clerks,195,35,160
"143 Library, correspondence and other clerks",690,100,590
"1430 Library, correspondence and other clerks",690,100,590
14300 Library assistants and clerks,370,55,315
"14301 Correspondence, publication and regulatory clerks",320,40,275
"144 Supply chain logistics, tracking and scheduling coordination occupations","4,755","3,350","1,405"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","4,755","3,350","1,405"
14400 Shippers and receivers,"1,920","1,505",415
14401 Storekeepers and partspersons,"1,200","1,025",180
14402 Production logistics workers,140,70,70
14403 Purchasing and inventory control workers,655,380,275
14404 Dispatchers,745,340,410
14405 Transportation route and crew schedulers,90,30,60
2 Natural and applied sciences and related occupations,"25,575","19,945","5,635"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","1,750","1,280",465
"200 Specialized middle management occupations in engineering, architecture, science and information systems","1,750","1,280",465
"2001 Managers in engineering, architecture, science and information systems","1,750","1,280",465
20010 Engineering managers,395,315,80
20011 Architecture and science managers,150,90,65
20012 Computer and information systems managers,"1,200",875,325
21 Professional occupations in natural and applied sciences,"12,330","9,360","2,975"
211 Professional occupations in natural sciences,"1,585",930,660
2110 Physical science professionals,305,195,120
21100 Physicists and astronomers,30,20,0
21101 Chemists,150,75,75
21102 Geoscientists and oceanographers,105,85,20
21103 Meteorologists and climatologists,25,10,15
21109 Other professional occupations in physical sciences,0,0,0
2111 Life science professionals,875,505,370
21110 Biologists and related scientists,580,280,305
21111 Forestry professionals,175,145,30
"21112 Agricultural representatives, consultants and specialists",125,85,40
2112 Public and environmental health and safety professionals,400,230,170
21120 Public and environmental health and safety professionals,400,230,170
212 Professional occupations in applied sciences (except engineering),"7,150","5,325","1,830"
"2120 Architects, urban planners and land surveyors",550,385,165
21200 Architects,125,75,50
21201 Landscape architects,0,0,0
21202 Urban and land use planners,295,195,100
21203 Land surveyors,120,110,15
"2121 Mathematicians, statisticians, actuaries and data scientists",265,175,85
"21210 Mathematicians, statisticians and actuaries",120,75,40
21211 Data scientists,145,100,40
2122 Computer and information systems professionals,"3,040","2,120",925
21220 Cybersecurity specialists,250,195,60
21221 Business systems specialists,615,280,335
21222 Information systems specialists,"1,850","1,445",410
21223 Database analysts and data administrators,320,200,125
"2123 Computer, software and Web designers and developers","3,300","2,645",655
21230 Computer systems developers and programmers,600,485,115
21231 Software engineers and designers,850,715,135
21232 Software developers and programmers,"1,150",955,195
21233 Web designers,150,100,50
21234 Web developers and programmers,545,385,160
213 Professional occupations in engineering,"3,590","3,100",485
2130 Civil and mechanical engineers,"2,100","1,825",265
21300 Civil engineers,"1,385","1,140",240
21301 Mechanical engineers,715,680,30
"2131 Electrical, electronics and computer engineers",870,765,105
21310 Electrical and electronics engineers,610,535,75
21311 Computer engineers (except software engineers and designers),265,230,30
2132 Manufacturing and processing engineers,400,325,80
21320 Chemical engineers,240,210,30
21321 Industrial and manufacturing engineers,135,100,35
21322 Metallurgical and materials engineers,25,15,10
2133 Natural resources engineers,100,85,20
21330 Mining engineers,15,10,0
21331 Geological engineers,70,55,10
21332 Petroleum engineers,20,20,0
2139 Other engineers,125,105,20
21390 Aerospace engineers,10,10,0
21399 Other professional engineers,110,90,20
22 Technical occupations related to natural and applied sciences,"11,495","9,300","2,190"
221 Technical occupations related to natural sciences,"1,990","1,435",550
2210 Technical occupations in physical sciences,465,325,140
22100 Chemical technologists and technicians,330,200,135
22101 Geological and mineral technologists and technicians,135,125,10
