Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"433,955","211,180","222,775"
Occupation - not applicable 13,"165,980","74,715","91,270"
All occupations 14,"267,975","136,465","131,510"
0 Legislative and senior management occupations,"2,180","1,270",915
00 Legislative and senior managers,"2,180","1,270",915
000 Legislative and senior managers,"2,180","1,270",915
0001 Legislative and senior managers,"2,180","1,270",915
00010 Legislators,75,25,45
00018 Seniors managers - public and private sector 15,"2,110","1,245",865
"1 Business, finance and administration occupations","35,440","9,400","26,045"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","3,355","1,505","1,855"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","3,355","1,505","1,855"
1001 Administrative services managers,"1,820",815,"1,000"
10010 Financial managers,525,170,355
10011 Human resources managers,565,230,330
10012 Purchasing managers,275,185,90
10019 Other administrative services managers,460,230,230
1002 Managers in financial and business services,"1,425",615,810
"10020 Insurance, real estate and financial brokerage managers",135,70,70
"10021 Banking, credit and other investment managers",455,180,265
"10022 Advertising, marketing and public relations managers",570,250,320
10029 Other business services managers,265,120,150
1003 Managers in communication (except broadcasting),110,65,40
10030 Telecommunication carriers managers,110,65,40
11 Professional occupations in finance and business,"5,390","2,135","3,255"
111 Professional occupations in finance,"3,120","1,385","1,735"
"1110 Auditors, accountants and investment professionals","3,120","1,385","1,735"
11100 Financial auditors and accountants,"1,945",850,"1,095"
11101 Financial and investment analysts,180,65,115
11102 Financial advisors,840,420,425
"11103 Securities agents, investment dealers and brokers",45,20,25
11109 Other financial officers,120,40,75
112 Professional occupations in business,"2,270",745,"1,520"
1120 Human resources and business service professionals,"2,270",745,"1,520"
11200 Human resources professionals,870,210,660
11201 Professional occupations in business management consulting,535,260,280
"11202 Professional occupations in advertising, marketing and public relations",860,280,580
12 Administrative and financial supervisors and specialized administrative occupations,"6,045","1,755","4,295"
120 Administrative and financial supervisors,830,405,425
1201 Administrative and financial supervisors,830,405,425
"12010 Supervisors, general office and administrative support workers",240,130,110
"12011 Supervisors, finance and insurance office workers",215,30,190
"12012 Supervisors, library, correspondence and related information workers",90,25,70
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",280,225,55
121 Specialized administrative occupations,"3,445",915,"2,535"
1210 Administrative and regulatory occupations,"3,135",865,"2,265"
12100 Executive assistants,390,35,360
12101 Human resources and recruitment officers,340,65,275
12102 Procurement and purchasing agents and officers,415,175,245
12103 Conference and event planners,200,75,120
12104 Employment insurance and revenue officers,"1,785",520,"1,260"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",315,50,270
"12110 Court reporters, medical transcriptionists and related occupations",80,0,75
12111 Health information management occupations,140,20,125
12112 Records management technicians,60,0,55
12113 Statistical officers and related research support occupations,35,25,10
"122 Accounting, insurance and related business administrative occupations","1,765",435,"1,335"
"1220 Accounting, insurance and related business administrative occupations","1,765",435,"1,335"
12200 Accounting technicians and bookkeepers,"1,285",255,"1,030"
12201 Insurance adjusters and claims examiners,285,70,220
12202 Insurance underwriters,60,10,50
"12203 Assessors, business valuators and appraisers",135,105,35
13 Administrative occupations and transportation logistics occupations,"8,435",860,"7,580"
131 Administrative occupations,"8,130",685,"7,435"
"1310 Administrative, property and payroll officers","4,145",615,"3,530"
13100 Administrative officers,"3,045",330,"2,710"
13101 Property administrators,375,180,195
13102 Payroll administrators,725,105,620
"1311 Office administrative assistants - general, legal and medical","3,980",75,"3,910"
13110 Administrative assistants,"3,160",60,"3,100"
13111 Legal administrative assistants,415,0,410
13112 Medical administrative assistants,410,0,400
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,310,175,135
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,310,175,135
"13200 Customs, ship and other brokers",15,15,0
13201 Production and transportation logistics coordinators,295,160,135
14 Administrative and financial support and supply chain logistics occupations,"12,220","3,150","9,065"
"141 Office, court, and data support occupations","7,050",875,"6,170"
1410 Office support and court services occupations,"5,790",550,"5,235"
14100 General office support workers,"3,685",395,"3,295"
14101 Receptionists,"1,835",110,"1,720"
14102 Personnel clerks,175,40,140
14103 Court clerks and related court services occupations,90,10,80
"1411 Survey, statistical and data entry occupations","1,260",320,940
14110 Survey interviewers and statistical clerks,660,175,485
14111 Data entry clerks,590,135,455
14112 Desktop publishing operators and related occupations,10,10,0
"142 Financial, insurance and related administrative support workers","2,270",365,"1,905"
"1420 Financial, insurance and related administrative support workers","2,270",365,"1,905"
14200 Accounting and related clerks,"2,060",330,"1,730"
"14201 Banking, insurance and other financial clerks",80,10,70
14202 Collection clerks,130,20,110
"143 Library, correspondence and other clerks",335,80,250
"1430 Library, correspondence and other clerks",335,80,250
14300 Library assistants and clerks,105,0,100
"14301 Correspondence, publication and regulatory clerks",230,70,150
"144 Supply chain logistics, tracking and scheduling coordination occupations","2,565","1,830",735
"1440 Supply chain logistics, tracking and scheduling coordination occupations","2,565","1,830",735
14400 Shippers and receivers,910,750,165
14401 Storekeepers and partspersons,790,650,135
14402 Production logistics workers,70,35,35
14403 Purchasing and inventory control workers,395,240,155
14404 Dispatchers,355,140,220
14405 Transportation route and crew schedulers,45,15,30
2 Natural and applied sciences and related occupations,"16,165","12,580","3,585"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","1,005",730,275
"200 Specialized middle management occupations in engineering, architecture, science and information systems","1,005",730,275
"2001 Managers in engineering, architecture, science and information systems","1,005",730,275
20010 Engineering managers,410,320,95
20011 Architecture and science managers,105,65,40
20012 Computer and information systems managers,485,345,145
21 Professional occupations in natural and applied sciences,"7,810","6,010","1,800"
211 Professional occupations in natural sciences,"1,315",770,540
2110 Physical science professionals,500,330,170
21100 Physicists and astronomers,25,15,10
21101 Chemists,100,40,60
21102 Geoscientists and oceanographers,325,235,90
21103 Meteorologists and climatologists,40,30,0
21109 Other professional occupations in physical sciences,0,0,0
2111 Life science professionals,465,240,225
21110 Biologists and related scientists,430,205,220
21111 Forestry professionals,20,20,0
"21112 Agricultural representatives, consultants and specialists",15,15,0
2112 Public and environmental health and safety professionals,350,200,150
21120 Public and environmental health and safety professionals,350,200,150
212 Professional occupations in applied sciences (except engineering),"3,245","2,460",780
"2120 Architects, urban planners and land surveyors",540,430,110
21200 Architects,75,60,15
21201 Landscape architects,20,10,10
21202 Urban and land use planners,200,140,60
21203 Land surveyors,240,210,30
"2121 Mathematicians, statisticians, actuaries and data scientists",75,35,40
"21210 Mathematicians, statisticians and actuaries",50,15,35
21211 Data scientists,20,20,0
2122 Computer and information systems professionals,"1,170",795,375
21220 Cybersecurity specialists,80,70,10
21221 Business systems specialists,145,70,80
21222 Information systems specialists,745,545,200
21223 Database analysts and data administrators,200,110,90
"2123 Computer, software and Web designers and developers","1,460","1,200",255
21230 Computer systems developers and programmers,235,195,35
21231 Software engineers and designers,220,185,40
21232 Software developers and programmers,670,560,105
21233 Web designers,75,55,20
21234 Web developers and programmers,265,210,55
213 Professional occupations in engineering,"3,260","2,775",475
2130 Civil and mechanical engineers,"1,505","1,280",225
21300 Civil engineers,940,785,155
21301 Mechanical engineers,565,495,70
"2131 Electrical, electronics and computer engineers",550,505,45
21310 Electrical and electronics engineers,455,420,35
21311 Computer engineers (except software engineers and designers),95,85,10
2132 Manufacturing and processing engineers,185,145,50
21320 Chemical engineers,70,45,25
21321 Industrial and manufacturing engineers,75,75,0
21322 Metallurgical and materials engineers,40,25,15
2133 Natural resources engineers,395,300,100
21330 Mining engineers,60,45,15
21331 Geological engineers,40,30,0
21332 Petroleum engineers,295,220,75
2139 Other engineers,610,555,60
21390 Aerospace engineers,15,10,0
21399 Other professional engineers,600,550,55
22 Technical occupations related to natural and applied sciences,"7,350","5,840","1,510"
221 Technical occupations related to natural sciences,"1,495","1,030",465
2210 Technical occupations in physical sciences,535,385,150
22100 Chemical technologists and technicians,80,45,35
22101 Geological and mineral technologists and technicians,455,335,120
2211 Technical occupations in life sciences,965,645,320
22110 Biological technologists and technicians,260,155,105
22111 Agricultural and fish products inspectors,90,40,45
22112 Forestry technologists and technicians,100,80,20
22113 Conservation and fishery officers,425,295,130
22114 Landscape and horticulture technicians and specialists,85,75,15
222 Technical occupations related to applied sciences (except engineering),"2,960","2,255",705
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",620,475,145
22210 Architectural technologists and technicians,80,70,10
22211 Industrial designers,25,15,10
22212 Drafting technologists and technicians,295,215,80
22213 Land survey technologists and technicians,50,45,0
22214 Technical occupations in geomatics and meteorology,170,125,45
2222 Technical occupations in computer and information systems,"1,170",920,250
22220 Computer network and web technicians,710,565,140
22221 User support technicians,450,345,100
22222 Information systems testing technicians,10,10,0
2223 Technical inspectors and regulatory officers,"1,175",860,310
22230 Non-destructive testers and inspectors,245,215,30
22231 Engineering inspectors and regulatory officers,115,95,25
22232 Occupational health and safety specialists,445,250,195
22233 Construction inspectors,370,305,65
223 Technical occupations related to engineering,"2,890","2,550",335
"2230 Technical occupations in civil, mechanical and industrial engineering","1,085",875,205
22300 Civil engineering technologists and technicians,420,330,95
22301 Mechanical engineering technologists and technicians,315,285,30
22302 Industrial engineering and manufacturing technologists and technicians,85,55,30
22303 Construction estimators,255,210,50
2231 Technical occupations in electronics and electrical engineering,"1,805","1,675",125
22310 Electrical and electronics engineering technologists and technicians,890,800,95
22311 Electronic service technicians (household and business equipment),560,535,20
22312 Industrial instrument technicians and mechanics,245,240,0
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",110,100,0
3 Health occupations,"23,320","4,080","19,235"
30 Specialized middle management occupations in health care,560,135,425
300 Specialized middle management occupations in health care,560,135,425
3001 Managers in health care,560,135,425
30010 Managers in health care,560,135,425
31 Professional occupations in health,"10,220","2,045","8,175"
311 Health treating and consultation services professionals,"2,810","1,320","1,495"
3110 Physicians and veterinarians,"1,575",835,735
31100 Specialists in clinical and laboratory medicine,565,330,235
31101 Specialists in surgery,175,105,70
31102 General practitioners and family physicians,760,380,380
31103 Veterinarians,70,25,50
"3111 Dentists, optometrists and audiologists",440,180,265
31110 Dentists,265,155,110
31111 Optometrists,40,25,20
31112 Audiologists and speech-language pathologists,135,0,135
3112 Pharmacists and dietitians,795,300,490
31120 Pharmacists,685,300,380
31121 Dietitians and nutritionists,115,0,115
312 Therapy and assessment professionals,970,225,750
3120 Therapy and assessment professionals,970,225,750
31200 Psychologists,190,50,145
31201 Chiropractors,60,30,30
31202 Physiotherapists,310,65,240
31203 Occupational therapists,215,35,180
31204 Kinesiologists and other professional occupations in therapy and assessment,170,30,140
31209 Other professional occupations in health diagnosing and treating,25,10,15
313 Nursing and allied health professionals,"6,435",500,"5,935"
3130 Nursing and allied health professionals,"6,435",500,"5,935"
31300 Nursing coordinators and supervisors,165,20,140
31301 Registered nurses and registered psychiatric nurses,"6,085",455,"5,635"
31302 Nurse practitioners,160,15,145
"31303 Physician assistants, midwives and allied health professionals",30,0,20
32 Technical occupations in health,"5,530","1,095","4,435"
321 Technical occupations in health (except practitioners of natural healing),"5,120","1,060","4,060"
3210 Technical occupations in therapy and assessment,"3,265",700,"2,565"
32100 Opticians,95,30,70
32101 Licensed practical nurses,"1,835",180,"1,660"
32102 Paramedical occupations,670,385,280
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",145,55,95
32104 Animal health technologists and veterinary technicians,230,10,220
32109 Other technical occupations in therapy and assessment,285,40,245
3211 Technical occupations in dental health care,350,55,295
32110 Denturists,40,30,15
32111 Dental hygienists and dental therapists,265,10,260
32112 Dental technologists and technicians,40,20,20
3212 Medical technologists and technicians,"1,510",300,"1,200"
32120 Medical laboratory technologists,530,110,420
32121 Medical radiation technologists,380,85,295
32122 Medical sonographers,90,30,60
32123 Cardiology technologists and electrophysiological diagnostic technologists,65,15,55
32124 Pharmacy technicians,385,35,355
32129 Other medical technologists and technicians,55,30,25
322 Practitioners of natural healing,410,35,375
3220 Practitioners of natural healing,410,35,375
32200 Traditional Chinese medicine practitioners and acupuncturists,15,0,10
32201 Massage therapists,355,25,330
32209 Other practitioners of natural healing,40,0,35
33 Assisting occupations in support of health services,"7,010",815,"6,195"
331 Assisting occupations in support of health services,"7,010",815,"6,195"
3310 Assisting occupations in support of health services,"7,010",815,"6,195"
33100 Dental assistants and dental laboratory assistants,330,0,330
33101 Medical laboratory assistants and related technical occupations,300,35,260
"33102 Nurse aides, orderlies and patient service associates","5,560",655,"4,905"
33103 Pharmacy technical assistants and pharmacy assistants,420,40,380
33109 Other assisting occupations in support of health services,400,85,315
"4 Occupations in education, law and social, community and government services","37,370","10,460","26,910"
"40 Managers in public administration, in education and social and community services and in public protection services","1,755",850,905
"400 Managers in public administration, in education and social and community services and in public protection services","1,755",850,905
4001 Managers in public administration,455,240,210
40010 Government managers - health and social policy development and program administration,95,35,60
"40011 Government managers - economic analysis, policy development and program administration",245,150,95
40012 Government managers - education policy development and program administration,40,0,45
40019 Other managers in public administration,70,55,15
