Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"31,915","16,125","15,785"
Occupation - not applicable 13,"7,770","3,720","4,050"
All occupations 14,"24,145","12,405","11,735"
0 Legislative and senior management occupations,435,245,185
00 Legislative and senior managers,435,245,185
000 Legislative and senior managers,435,245,185
0001 Legislative and senior managers,435,245,185
00010 Legislators,75,40,35
00018 Seniors managers - public and private sector 15,355,205,150
"1 Business, finance and administration occupations","4,350","1,105","3,240"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",525,220,310
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",525,220,310
1001 Administrative services managers,325,95,230
10010 Financial managers,115,25,90
10011 Human resources managers,85,25,70
10012 Purchasing managers,25,20,10
10019 Other administrative services managers,90,25,65
1002 Managers in financial and business services,195,115,75
"10020 Insurance, real estate and financial brokerage managers",30,15,15
"10021 Banking, credit and other investment managers",35,25,15
"10022 Advertising, marketing and public relations managers",85,55,30
10029 Other business services managers,40,30,15
1003 Managers in communication (except broadcasting),10,10,0
10030 Telecommunication carriers managers,10,10,0
11 Professional occupations in finance and business,565,235,330
111 Professional occupations in finance,200,85,115
"1110 Auditors, accountants and investment professionals",200,85,115
11100 Financial auditors and accountants,110,50,60
11101 Financial and investment analysts,40,15,25
11102 Financial advisors,45,20,25
"11103 Securities agents, investment dealers and brokers",0,0,0
11109 Other financial officers,0,0,0
112 Professional occupations in business,365,145,215
1120 Human resources and business service professionals,365,145,215
11200 Human resources professionals,135,40,95
11201 Professional occupations in business management consulting,80,35,45
"11202 Professional occupations in advertising, marketing and public relations",150,70,80
12 Administrative and financial supervisors and specialized administrative occupations,745,175,575
120 Administrative and financial supervisors,75,20,55
1201 Administrative and financial supervisors,75,20,55
"12010 Supervisors, general office and administrative support workers",20,0,15
"12011 Supervisors, finance and insurance office workers",20,0,15
"12012 Supervisors, library, correspondence and related information workers",15,0,10
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",25,10,15
121 Specialized administrative occupations,390,95,295
1210 Administrative and regulatory occupations,350,95,255
12100 Executive assistants,115,15,100
12101 Human resources and recruitment officers,70,0,65
12102 Procurement and purchasing agents and officers,105,45,55
12103 Conference and event planners,20,10,10
12104 Employment insurance and revenue officers,45,10,30
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",40,0,40
"12110 Court reporters, medical transcriptionists and related occupations",10,0,10
12111 Health information management occupations,25,0,25
12112 Records management technicians,10,0,10
12113 Statistical officers and related research support occupations,10,0,0
"122 Accounting, insurance and related business administrative occupations",275,55,220
"1220 Accounting, insurance and related business administrative occupations",275,55,220
12200 Accounting technicians and bookkeepers,245,40,205
12201 Insurance adjusters and claims examiners,20,10,15
12202 Insurance underwriters,0,0,0
"12203 Assessors, business valuators and appraisers",10,0,0
13 Administrative occupations and transportation logistics occupations,"1,120",130,990
131 Administrative occupations,"1,085",105,975
"1310 Administrative, property and payroll officers",665,85,575
13100 Administrative officers,495,60,440
13101 Property administrators,85,20,65
13102 Payroll administrators,80,10,70
"1311 Office administrative assistants - general, legal and medical",425,20,400
13110 Administrative assistants,370,10,360
13111 Legal administrative assistants,30,10,25
13112 Medical administrative assistants,20,0,15
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,40,20,15
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,40,20,15
"13200 Customs, ship and other brokers",0,0,0
13201 Production and transportation logistics coordinators,40,20,15
14 Administrative and financial support and supply chain logistics occupations,"1,385",355,"1,030"
"141 Office, court, and data support occupations",810,120,695
1410 Office support and court services occupations,705,100,605
14100 General office support workers,380,55,330
14101 Receptionists,275,30,245
14102 Personnel clerks,25,10,15
14103 Court clerks and related court services occupations,30,10,20
"1411 Survey, statistical and data entry occupations",110,20,90
14110 Survey interviewers and statistical clerks,50,15,35
14111 Data entry clerks,60,10,60
14112 Desktop publishing operators and related occupations,0,0,0
"142 Financial, insurance and related administrative support workers",265,35,230
"1420 Financial, insurance and related administrative support workers",265,35,230
14200 Accounting and related clerks,260,40,220
"14201 Banking, insurance and other financial clerks",0,0,0
14202 Collection clerks,0,0,0
"143 Library, correspondence and other clerks",40,10,30
"1430 Library, correspondence and other clerks",40,10,30
14300 Library assistants and clerks,10,0,10
