Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"819,315","395,805","423,510"
Occupation - not applicable 13,"288,900","125,720","163,185"
All occupations 14,"530,410","270,085","260,325"
0 Legislative and senior management occupations,"5,380","3,330","2,045"
00 Legislative and senior managers,"5,380","3,330","2,045"
000 Legislative and senior managers,"5,380","3,330","2,045"
0001 Legislative and senior managers,"5,380","3,330","2,045"
00010 Legislators,385,200,185
00018 Seniors managers - public and private sector 15,"4,990","3,130","1,860"
"1 Business, finance and administration occupations","79,305","23,020","56,290"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","9,295","4,005","5,290"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","9,295","4,005","5,290"
1001 Administrative services managers,"4,430","1,875","2,555"
10010 Financial managers,"1,595",675,915
10011 Human resources managers,"1,145",340,810
10012 Purchasing managers,610,340,270
10019 Other administrative services managers,"1,080",530,555
1002 Managers in financial and business services,"4,630","1,960","2,665"
"10020 Insurance, real estate and financial brokerage managers",850,425,425
"10021 Banking, credit and other investment managers","1,380",570,815
"10022 Advertising, marketing and public relations managers","1,840",660,"1,185"
10029 Other business services managers,555,315,240
1003 Managers in communication (except broadcasting),230,160,65
10030 Telecommunication carriers managers,230,160,65
11 Professional occupations in finance and business,"15,080","6,510","8,570"
111 Professional occupations in finance,"7,930","4,095","3,835"
"1110 Auditors, accountants and investment professionals","7,930","4,095","3,835"
11100 Financial auditors and accountants,"4,210","1,965","2,250"
11101 Financial and investment analysts,880,490,390
11102 Financial advisors,"2,070","1,255",815
"11103 Securities agents, investment dealers and brokers",180,135,45
11109 Other financial officers,585,260,330
112 Professional occupations in business,"7,150","2,415","4,735"
1120 Human resources and business service professionals,"7,150","2,415","4,735"
11200 Human resources professionals,"2,155",495,"1,655"
11201 Professional occupations in business management consulting,"1,820",890,935
"11202 Professional occupations in advertising, marketing and public relations","3,175","1,035","2,140"
12 Administrative and financial supervisors and specialized administrative occupations,"11,705","3,465","8,240"
120 Administrative and financial supervisors,"1,535",770,765
1201 Administrative and financial supervisors,"1,535",770,765
"12010 Supervisors, general office and administrative support workers",450,200,250
"12011 Supervisors, finance and insurance office workers",355,80,275
"12012 Supervisors, library, correspondence and related information workers",175,50,125
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",560,440,115
121 Specialized administrative occupations,"5,105","1,500","3,600"
1210 Administrative and regulatory occupations,"4,405","1,380","3,030"
12100 Executive assistants,990,115,875
12101 Human resources and recruitment officers,780,265,510
12102 Procurement and purchasing agents and officers,"1,100",465,630
12103 Conference and event planners,555,180,370
12104 Employment insurance and revenue officers,985,345,635
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",700,125,575
"12110 Court reporters, medical transcriptionists and related occupations",390,40,345
12111 Health information management occupations,125,20,105
12112 Records management technicians,60,25,35
12113 Statistical officers and related research support occupations,120,35,85
"122 Accounting, insurance and related business administrative occupations","5,065","1,190","3,875"
"1220 Accounting, insurance and related business administrative occupations","5,065","1,190","3,875"
12200 Accounting technicians and bookkeepers,"3,380",505,"2,865"
12201 Insurance adjusters and claims examiners,855,315,545
12202 Insurance underwriters,525,155,365
"12203 Assessors, business valuators and appraisers",310,215,95
13 Administrative occupations and transportation logistics occupations,"19,610","2,730","16,880"
131 Administrative occupations,"18,725","2,250","16,475"
"1310 Administrative, property and payroll officers","9,445","1,845","7,595"
13100 Administrative officers,"6,545",870,"5,675"
13101 Property administrators,"1,475",705,765
13102 Payroll administrators,"1,425",265,"1,160"
"1311 Office administrative assistants - general, legal and medical","9,285",405,"8,885"
13110 Administrative assistants,"7,265",290,"6,970"
13111 Legal administrative assistants,"1,005",75,925
13112 Medical administrative assistants,"1,020",35,985
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,890,485,405
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,890,485,405
"13200 Customs, ship and other brokers",25,20,10
13201 Production and transportation logistics coordinators,860,465,395
14 Administrative and financial support and supply chain logistics occupations,"23,610","6,310","17,295"
"141 Office, court, and data support occupations","12,250","1,805","10,445"
1410 Office support and court services occupations,"10,030","1,195","8,830"
14100 General office support workers,"5,695",805,"4,885"
14101 Receptionists,"3,845",300,"3,545"
14102 Personnel clerks,360,80,280
14103 Court clerks and related court services occupations,130,15,115
"1411 Survey, statistical and data entry occupations","2,220",605,"1,610"
14110 Survey interviewers and statistical clerks,605,225,380
14111 Data entry clerks,"1,615",380,"1,230"
14112 Desktop publishing operators and related occupations,0,0,0
"142 Financial, insurance and related administrative support workers","5,015",875,"4,145"
"1420 Financial, insurance and related administrative support workers","5,015",875,"4,145"
14200 Accounting and related clerks,"4,375",745,"3,630"
"14201 Banking, insurance and other financial clerks",455,90,370
14202 Collection clerks,190,45,145
"143 Library, correspondence and other clerks","1,130",210,925
"1430 Library, correspondence and other clerks","1,130",210,925
14300 Library assistants and clerks,570,100,475
"14301 Correspondence, publication and regulatory clerks",560,110,450
"144 Supply chain logistics, tracking and scheduling coordination occupations","5,210","3,425","1,790"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","5,210","3,425","1,790"
14400 Shippers and receivers,"2,240","1,675",565
14401 Storekeepers and partspersons,"1,050",870,180
14402 Production logistics workers,175,60,110
14403 Purchasing and inventory control workers,815,465,355
14404 Dispatchers,775,280,490
14405 Transportation route and crew schedulers,160,70,85
2 Natural and applied sciences and related occupations,"34,275","26,140","8,130"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","2,455","1,770",685
"200 Specialized middle management occupations in engineering, architecture, science and information systems","2,455","1,770",685
"2001 Managers in engineering, architecture, science and information systems","2,455","1,770",685
20010 Engineering managers,745,605,145
20011 Architecture and science managers,365,215,155
20012 Computer and information systems managers,"1,340",950,395
21 Professional occupations in natural and applied sciences,"18,680","13,895","4,785"
211 Professional occupations in natural sciences,"2,630","1,485","1,155"
2110 Physical science professionals,815,570,250
21100 Physicists and astronomers,80,50,30
21101 Chemists,245,135,110
21102 Geoscientists and oceanographers,415,320,100
21103 Meteorologists and climatologists,65,50,15
21109 Other professional occupations in physical sciences,15,10,0
2111 Life science professionals,"1,285",615,675
21110 Biologists and related scientists,"1,115",485,635
21111 Forestry professionals,115,100,10
"21112 Agricultural representatives, consultants and specialists",60,25,35
2112 Public and environmental health and safety professionals,530,300,225
21120 Public and environmental health and safety professionals,530,300,225
212 Professional occupations in applied sciences (except engineering),"10,775","7,900","2,875"
"2120 Architects, urban planners and land surveyors","1,130",765,360
21200 Architects,350,235,115
21201 Landscape architects,35,20,10
21202 Urban and land use planners,495,275,220
21203 Land surveyors,245,230,15
"2121 Mathematicians, statisticians, actuaries and data scientists",405,275,130
"21210 Mathematicians, statisticians and actuaries",195,100,95
21211 Data scientists,205,170,35
2122 Computer and information systems professionals,"4,180","2,830","1,355"
21220 Cybersecurity specialists,335,295,45
21221 Business systems specialists,625,330,295
21222 Information systems specialists,"2,680","1,890",795
21223 Database analysts and data administrators,535,320,215
"2123 Computer, software and Web designers and developers","5,065","4,035","1,030"
21230 Computer systems developers and programmers,670,475,195
21231 Software engineers and designers,"1,300","1,100",205
21232 Software developers and programmers,"1,705","1,450",255
21233 Web designers,260,165,95
21234 Web developers and programmers,"1,130",850,285
213 Professional occupations in engineering,"5,270","4,510",760
2130 Civil and mechanical engineers,"2,545","2,195",350
21300 Civil engineers,"1,675","1,415",260
21301 Mechanical engineers,870,780,90
"2131 Electrical, electronics and computer engineers","1,385","1,220",165
21310 Electrical and electronics engineers,960,840,115
21311 Computer engineers (except software engineers and designers),425,375,50
2132 Manufacturing and processing engineers,580,420,155
21320 Chemical engineers,120,85,35
21321 Industrial and manufacturing engineers,410,300,110
21322 Metallurgical and materials engineers,45,35,10
2133 Natural resources engineers,145,140,10
21330 Mining engineers,50,50,0
21331 Geological engineers,55,50,0
21332 Petroleum engineers,40,30,0
2139 Other engineers,615,535,80
21390 Aerospace engineers,70,60,10
