Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"24,540","12,410","12,130"
Occupation - not applicable 13,"9,355","4,780","4,575"
All occupations 14,"15,180","7,630","7,550"
0 Legislative and senior management occupations,280,160,115
00 Legislative and senior managers,280,160,115
000 Legislative and senior managers,280,160,115
0001 Legislative and senior managers,280,160,115
00010 Legislators,60,40,20
00018 Seniors managers - public and private sector 15,220,120,100
"1 Business, finance and administration occupations","2,605",680,"1,935"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",310,115,190
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",310,115,190
1001 Administrative services managers,235,90,145
10010 Financial managers,100,35,65
10011 Human resources managers,60,25,35
10012 Purchasing managers,10,15,0
10019 Other administrative services managers,60,20,40
1002 Managers in financial and business services,70,25,45
"10020 Insurance, real estate and financial brokerage managers",0,0,0
"10021 Banking, credit and other investment managers",10,0,10
"10022 Advertising, marketing and public relations managers",30,10,20
10029 Other business services managers,20,10,10
1003 Managers in communication (except broadcasting),0,0,0
10030 Telecommunication carriers managers,0,0,0
11 Professional occupations in finance and business,250,95,155
111 Professional occupations in finance,90,45,50
"1110 Auditors, accountants and investment professionals",90,45,50
11100 Financial auditors and accountants,50,25,30
11101 Financial and investment analysts,20,10,10
11102 Financial advisors,20,10,10
"11103 Securities agents, investment dealers and brokers",0,0,0
11109 Other financial officers,10,0,10
112 Professional occupations in business,160,50,110
1120 Human resources and business service professionals,160,50,110
11200 Human resources professionals,100,30,65
11201 Professional occupations in business management consulting,10,10,0
"11202 Professional occupations in advertising, marketing and public relations",45,10,35
12 Administrative and financial supervisors and specialized administrative occupations,395,120,280
120 Administrative and financial supervisors,35,10,25
1201 Administrative and financial supervisors,35,10,25
"12010 Supervisors, general office and administrative support workers",20,0,20
"12011 Supervisors, finance and insurance office workers",10,0,10
"12012 Supervisors, library, correspondence and related information workers",10,0,0
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",0,0,0
121 Specialized administrative occupations,205,70,135
1210 Administrative and regulatory occupations,190,65,125
12100 Executive assistants,55,15,45
12101 Human resources and recruitment officers,55,10,45
12102 Procurement and purchasing agents and officers,60,35,30
12103 Conference and event planners,10,0,0
12104 Employment insurance and revenue officers,20,10,10
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",15,10,10
"12110 Court reporters, medical transcriptionists and related occupations",0,10,0
12111 Health information management occupations,10,0,10
12112 Records management technicians,0,0,0
12113 Statistical officers and related research support occupations,0,0,0
"122 Accounting, insurance and related business administrative occupations",155,35,120
"1220 Accounting, insurance and related business administrative occupations",155,35,120
12200 Accounting technicians and bookkeepers,155,35,110
12201 Insurance adjusters and claims examiners,0,0,10
12202 Insurance underwriters,0,0,0
"12203 Assessors, business valuators and appraisers",0,0,0
13 Administrative occupations and transportation logistics occupations,660,125,535
131 Administrative occupations,655,125,530
"1310 Administrative, property and payroll officers",415,100,310
13100 Administrative officers,280,60,220
13101 Property administrators,55,25,30
13102 Payroll administrators,80,15,65
"1311 Office administrative assistants - general, legal and medical",240,20,215
13110 Administrative assistants,210,20,185
13111 Legal administrative assistants,20,0,20
13112 Medical administrative assistants,15,10,10
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,0,0,0
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,0,0,0
"13200 Customs, ship and other brokers",0,0,0
