Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"11,782,825","5,733,360","6,049,460"
Occupation - not applicable 13,"3,897,110","1,660,625","2,236,485"
All occupations 14,"7,885,715","4,072,740","3,812,970"
0 Legislative and senior management occupations,"99,875","69,175","30,700"
00 Legislative and senior managers,"99,875","69,175","30,700"
000 Legislative and senior managers,"99,875","69,175","30,700"
0001 Legislative and senior managers,"99,875","69,175","30,700"
00010 Legislators,"2,460","1,470",995
00018 Seniors managers - public and private sector 15,"97,415","67,705","29,705"
"1 Business, finance and administration occupations","1,428,300","479,380","948,920"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","212,585","96,355","116,230"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","212,585","96,355","116,230"
1001 Administrative services managers,"88,120","37,985","50,130"
10010 Financial managers,"33,090","14,255","18,840"
10011 Human resources managers,"22,730","6,435","16,290"
10012 Purchasing managers,"12,535","7,610","4,925"
10019 Other administrative services managers,"19,760","9,685","10,075"
1002 Managers in financial and business services,"119,460","54,935","64,535"
"10020 Insurance, real estate and financial brokerage managers","18,505","9,930","8,575"
"10021 Banking, credit and other investment managers","39,545","18,885","20,660"
"10022 Advertising, marketing and public relations managers","50,240","20,190","30,050"
10029 Other business services managers,"11,170","5,925","5,245"
1003 Managers in communication (except broadcasting),"5,005","3,440","1,565"
10030 Telecommunication carriers managers,"5,005","3,440","1,565"
11 Professional occupations in finance and business,"347,735","158,780","188,955"
111 Professional occupations in finance,"180,325","94,110","86,215"
"1110 Auditors, accountants and investment professionals","180,325","94,110","86,215"
11100 Financial auditors and accountants,"83,600","39,855","43,740"
11101 Financial and investment analysts,"31,765","17,715","14,050"
11102 Financial advisors,"42,225","23,895","18,330"
"11103 Securities agents, investment dealers and brokers","8,155","5,725","2,435"
11109 Other financial officers,"14,580","6,915","7,670"
112 Professional occupations in business,"167,415","64,675","102,740"
1120 Human resources and business service professionals,"167,415","64,675","102,740"
11200 Human resources professionals,"40,520","10,170","30,355"
11201 Professional occupations in business management consulting,"53,425","29,170","24,250"
"11202 Professional occupations in advertising, marketing and public relations","73,465","25,335","48,135"
12 Administrative and financial supervisors and specialized administrative occupations,"202,025","61,330","140,690"
120 Administrative and financial supervisors,"29,065","14,885","14,185"
1201 Administrative and financial supervisors,"29,065","14,885","14,185"
"12010 Supervisors, general office and administrative support workers","7,010","2,900","4,105"
"12011 Supervisors, finance and insurance office workers","7,705","1,975","5,735"
"12012 Supervisors, library, correspondence and related information workers","1,230",455,775
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","13,130","9,555","3,570"
121 Specialized administrative occupations,"90,900","25,375","65,525"
1210 Administrative and regulatory occupations,"80,590","22,815","57,775"
12100 Executive assistants,"20,445","1,980","18,465"
12101 Human resources and recruitment officers,"17,930","5,485","12,450"
12102 Procurement and purchasing agents and officers,"18,530","8,355","10,175"
12103 Conference and event planners,"11,355","2,795","8,560"
12104 Employment insurance and revenue officers,"12,335","4,215","8,125"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","10,305","2,560","7,750"
"12110 Court reporters, medical transcriptionists and related occupations","3,810",475,"3,345"
12111 Health information management occupations,"2,395",405,"1,990"
12112 Records management technicians,840,280,560
12113 Statistical officers and related research support occupations,"3,260","1,400","1,860"
"122 Accounting, insurance and related business administrative occupations","82,055","21,070","60,985"
"1220 Accounting, insurance and related business administrative occupations","82,055","21,070","60,985"
12200 Accounting technicians and bookkeepers,"54,530","9,415","45,115"
12201 Insurance adjusters and claims examiners,"12,780","4,730","8,050"
12202 Insurance underwriters,"8,935","2,945","5,990"
"12203 Assessors, business valuators and appraisers","5,810","3,980","1,830"
