Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"126,900","61,450","65,450"
Occupation - not applicable 13,"36,600","15,335","21,270"
All occupations 14,"90,300","46,115","44,180"
0 Legislative and senior management occupations,875,540,335
00 Legislative and senior managers,875,540,335
000 Legislative and senior managers,875,540,335
0001 Legislative and senior managers,875,540,335
00010 Legislators,50,45,10
00018 Seniors managers - public and private sector 15,830,500,330
"1 Business, finance and administration occupations","13,330","3,800","9,525"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","1,305",540,765
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","1,305",540,765
1001 Administrative services managers,720,270,445
10010 Financial managers,245,80,165
10011 Human resources managers,220,65,150
10012 Purchasing managers,65,40,20
10019 Other administrative services managers,190,80,105
1002 Managers in financial and business services,580,260,310
"10020 Insurance, real estate and financial brokerage managers",60,20,40
"10021 Banking, credit and other investment managers",130,65,65
"10022 Advertising, marketing and public relations managers",295,125,175
10029 Other business services managers,85,55,30
1003 Managers in communication (except broadcasting),10,10,0
10030 Telecommunication carriers managers,10,10,0
11 Professional occupations in finance and business,"2,120",905,"1,215"
111 Professional occupations in finance,"1,075",580,490
"1110 Auditors, accountants and investment professionals","1,075",580,490
11100 Financial auditors and accountants,605,300,305
11101 Financial and investment analysts,70,50,25
11102 Financial advisors,330,210,120
"11103 Securities agents, investment dealers and brokers",35,15,20
11109 Other financial officers,35,10,25
112 Professional occupations in business,"1,045",325,725
1120 Human resources and business service professionals,"1,045",325,725
11200 Human resources professionals,375,90,285
11201 Professional occupations in business management consulting,215,100,120
"11202 Professional occupations in advertising, marketing and public relations",455,140,320
12 Administrative and financial supervisors and specialized administrative occupations,"2,795",720,"2,075"
120 Administrative and financial supervisors,225,115,110
1201 Administrative and financial supervisors,225,115,110
"12010 Supervisors, general office and administrative support workers",65,15,55
"12011 Supervisors, finance and insurance office workers",45,15,25
"12012 Supervisors, library, correspondence and related information workers",20,0,20
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",90,75,10
121 Specialized administrative occupations,"1,460",395,"1,065"
1210 Administrative and regulatory occupations,"1,375",390,990
12100 Executive assistants,165,20,140
12101 Human resources and recruitment officers,120,35,90
12102 Procurement and purchasing agents and officers,155,60,90
12103 Conference and event planners,105,45,55
12104 Employment insurance and revenue officers,835,225,610
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",80,10,75
"12110 Court reporters, medical transcriptionists and related occupations",30,0,30
12111 Health information management occupations,25,0,25
12112 Records management technicians,10,0,10
12113 Statistical officers and related research support occupations,15,10,0
"122 Accounting, insurance and related business administrative occupations","1,110",210,905
"1220 Accounting, insurance and related business administrative occupations","1,110",210,905
12200 Accounting technicians and bookkeepers,920,120,800
12201 Insurance adjusters and claims examiners,110,35,75
12202 Insurance underwriters,10,0,10
"12203 Assessors, business valuators and appraisers",75,50,25
13 Administrative occupations and transportation logistics occupations,"3,235",420,"2,815"
131 Administrative occupations,"3,140",360,"2,780"
"1310 Administrative, property and payroll officers","1,445",280,"1,170"
13100 Administrative officers,"1,025",145,880
13101 Property administrators,155,100,55
13102 Payroll administrators,270,30,235
"1311 Office administrative assistants - general, legal and medical","1,695",80,"1,615"
13110 Administrative assistants,"1,255",65,"1,190"
13111 Legal administrative assistants,140,10,135
13112 Medical administrative assistants,290,0,290
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,95,60,35
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,95,60,35
"13200 Customs, ship and other brokers",0,0,0
13201 Production and transportation logistics coordinators,90,60,25
14 Administrative and financial support and supply chain logistics occupations,"3,875","1,220","2,655"
"141 Office, court, and data support occupations","2,235",435,"1,800"
1410 Office support and court services occupations,"1,790",320,"1,470"
14100 General office support workers,"1,110",235,870
14101 Receptionists,565,55,505
14102 Personnel clerks,100,25,75
14103 Court clerks and related court services occupations,20,0,20
"1411 Survey, statistical and data entry occupations",440,115,325
14110 Survey interviewers and statistical clerks,180,80,100
14111 Data entry clerks,260,30,230
14112 Desktop publishing operators and related occupations,0,0,0
"142 Financial, insurance and related administrative support workers",810,175,635
"1420 Financial, insurance and related administrative support workers",810,175,635
14200 Accounting and related clerks,725,160,560
"14201 Banking, insurance and other financial clerks",65,0,60
14202 Collection clerks,25,10,15
"143 Library, correspondence and other clerks",80,15,65
"1430 Library, correspondence and other clerks",80,15,65
14300 Library assistants and clerks,40,10,35
"14301 Correspondence, publication and regulatory clerks",45,0,40
"144 Supply chain logistics, tracking and scheduling coordination occupations",750,595,150
"1440 Supply chain logistics, tracking and scheduling coordination occupations",750,595,150
14400 Shippers and receivers,350,295,55
14401 Storekeepers and partspersons,135,115,25
14402 Production logistics workers,35,20,15
14403 Purchasing and inventory control workers,120,85,30
