Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"6,918,730","3,414,515","3,504,210"
Occupation - not applicable 13,"2,171,615","950,195","1,221,425"
All occupations 14,"4,747,110","2,464,320","2,282,790"
0 Legislative and senior management occupations,"83,500","60,115","23,385"
00 Legislative and senior managers,"83,500","60,115","23,385"
000 Legislative and senior managers,"83,500","60,115","23,385"
0001 Legislative and senior managers,"83,500","60,115","23,385"
00010 Legislators,"2,165","1,295",875
00018 Seniors managers - public and private sector 15,"81,335","58,820","22,515"
"1 Business, finance and administration occupations","832,790","273,850","558,940"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","93,585","43,460","50,125"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","93,585","43,460","50,125"
1001 Administrative services managers,"51,585","22,515","29,065"
10010 Financial managers,"22,125","9,405","12,730"
10011 Human resources managers,"11,355","3,975","7,375"
10012 Purchasing managers,"6,075","3,705","2,370"
10019 Other administrative services managers,"12,025","5,430","6,595"
1002 Managers in financial and business services,"39,645","19,205","20,435"
"10020 Insurance, real estate and financial brokerage managers","4,855","2,640","2,215"
"10021 Banking, credit and other investment managers","15,215","7,930","7,280"
"10022 Advertising, marketing and public relations managers","16,300","6,650","9,650"
10029 Other business services managers,"3,270","1,985","1,285"
1003 Managers in communication (except broadcasting),"2,360","1,735",630
10030 Telecommunication carriers managers,"2,360","1,735",630
11 Professional occupations in finance and business,"187,060","78,520","108,540"
111 Professional occupations in finance,"99,280","46,585","52,695"
"1110 Auditors, accountants and investment professionals","99,280","46,585","52,695"
11100 Financial auditors and accountants,"48,240","20,055","28,190"
11101 Financial and investment analysts,"16,685","8,940","7,740"
11102 Financial advisors,"24,185","13,115","11,070"
"11103 Securities agents, investment dealers and brokers","2,505","1,595",910
11109 Other financial officers,"7,665","2,875","4,785"
112 Professional occupations in business,"87,780","31,935","55,840"
1120 Human resources and business service professionals,"87,780","31,935","55,840"
11200 Human resources professionals,"26,725","7,330","19,390"
11201 Professional occupations in business management consulting,"26,305","14,110","12,195"
"11202 Professional occupations in advertising, marketing and public relations","34,750","10,500","24,255"
12 Administrative and financial supervisors and specialized administrative occupations,"119,970","37,715","82,255"
120 Administrative and financial supervisors,"14,635","7,555","7,080"
1201 Administrative and financial supervisors,"14,635","7,555","7,080"
"12010 Supervisors, general office and administrative support workers","4,290","2,150","2,135"
"12011 Supervisors, finance and insurance office workers","4,025",980,"3,050"
"12012 Supervisors, library, correspondence and related information workers",470,220,250
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","5,845","4,205","1,645"
121 Specialized administrative occupations,"58,360","16,765","41,600"
1210 Administrative and regulatory occupations,"52,345","15,790","36,550"
12100 Executive assistants,"13,105","1,320","11,785"
12101 Human resources and recruitment officers,"14,020","3,685","10,340"
12102 Procurement and purchasing agents and officers,"13,730","6,935","6,795"
12103 Conference and event planners,"4,640","1,475","3,165"
12104 Employment insurance and revenue officers,"6,845","2,375","4,475"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","6,020",970,"5,050"
"12110 Court reporters, medical transcriptionists and related occupations","2,110",165,"1,940"
12111 Health information management occupations,"2,070",200,"1,865"
12112 Records management technicians,"1,050",305,745
12113 Statistical officers and related research support occupations,800,305,500
"122 Accounting, insurance and related business administrative occupations","46,975","13,400","33,570"
"1220 Accounting, insurance and related business administrative occupations","46,975","13,400","33,570"
12200 Accounting technicians and bookkeepers,"31,475","5,055","26,420"
12201 Insurance adjusters and claims examiners,"6,900","3,215","3,685"
12202 Insurance underwriters,"2,940","1,120","1,810"
"12203 Assessors, business valuators and appraisers","5,665","4,010","1,655"
13 Administrative occupations and transportation logistics occupations,"214,025","33,040","180,985"
131 Administrative occupations,"199,340","25,120","174,220"
"1310 Administrative, property and payroll officers","90,920","20,330","70,585"
13100 Administrative officers,"75,675","15,030","60,650"
13101 Property administrators,"8,415","4,385","4,025"
13102 Payroll administrators,"6,830",920,"5,915"
"1311 Office administrative assistants - general, legal and medical","108,420","4,785","103,625"
13110 Administrative assistants,"95,185","4,260","90,930"
13111 Legal administrative assistants,"6,940",355,"6,590"
13112 Medical administrative assistants,"6,290",180,"6,115"
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"14,685","7,920","6,770"
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"14,685","7,920","6,770"
"13200 Customs, ship and other brokers","1,065",620,445
13201 Production and transportation logistics coordinators,"13,620","7,295","6,325"
14 Administrative and financial support and supply chain logistics occupations,"218,145","81,115","137,035"
