Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"882,760","436,515","446,245"
Occupation - not applicable 13,"266,970","115,120","151,850"
All occupations 14,"615,790","321,390","294,400"
0 Legislative and senior management occupations,"5,725","3,360","2,370"
00 Legislative and senior managers,"5,725","3,360","2,370"
000 Legislative and senior managers,"5,725","3,360","2,370"
0001 Legislative and senior managers,"5,725","3,360","2,370"
00010 Legislators,710,440,275
00018 Seniors managers - public and private sector 15,"5,015","2,920","2,095"
"1 Business, finance and administration occupations","89,410","24,000","65,410"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","8,780","3,870","4,910"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","8,780","3,870","4,910"
1001 Administrative services managers,"4,200","1,780","2,415"
10010 Financial managers,"1,310",515,795
10011 Human resources managers,"1,340",555,785
10012 Purchasing managers,545,330,215
10019 Other administrative services managers,"1,010",385,620
1002 Managers in financial and business services,"4,375","1,955","2,415"
"10020 Insurance, real estate and financial brokerage managers",725,370,350
"10021 Banking, credit and other investment managers","1,855",740,"1,110"
"10022 Advertising, marketing and public relations managers","1,290",610,680
10029 Other business services managers,510,235,275
1003 Managers in communication (except broadcasting),205,135,75
10030 Telecommunication carriers managers,205,135,75
11 Professional occupations in finance and business,"15,125","6,265","8,860"
111 Professional occupations in finance,"8,470","3,965","4,500"
"1110 Auditors, accountants and investment professionals","8,470","3,965","4,500"
11100 Financial auditors and accountants,"4,480","1,900","2,585"
11101 Financial and investment analysts,585,350,230
11102 Financial advisors,"2,685","1,385","1,310"
"11103 Securities agents, investment dealers and brokers",190,125,65
11109 Other financial officers,530,215,315
112 Professional occupations in business,"6,655","2,295","4,360"
1120 Human resources and business service professionals,"6,655","2,295","4,360"
11200 Human resources professionals,"2,430",650,"1,780"
11201 Professional occupations in business management consulting,"1,535",770,765
"11202 Professional occupations in advertising, marketing and public relations","2,690",875,"1,815"
12 Administrative and financial supervisors and specialized administrative occupations,"14,520","3,595","10,925"
120 Administrative and financial supervisors,"1,680",730,950
1201 Administrative and financial supervisors,"1,680",730,950
"12010 Supervisors, general office and administrative support workers",485,145,335
"12011 Supervisors, finance and insurance office workers",450,80,375
"12012 Supervisors, library, correspondence and related information workers",120,25,85
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",635,480,160
121 Specialized administrative occupations,"5,060","1,380","3,675"
1210 Administrative and regulatory occupations,"4,335","1,305","3,025"
12100 Executive assistants,"1,295",115,"1,185"
12101 Human resources and recruitment officers,590,115,475
12102 Procurement and purchasing agents and officers,"1,345",700,640
12103 Conference and event planners,355,90,265
12104 Employment insurance and revenue officers,750,280,465
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",725,75,650
"12110 Court reporters, medical transcriptionists and related occupations",345,10,330
12111 Health information management occupations,265,15,255
12112 Records management technicians,30,0,30
12113 Statistical officers and related research support occupations,85,40,40
"122 Accounting, insurance and related business administrative occupations","7,780","1,480","6,300"
"1220 Accounting, insurance and related business administrative occupations","7,780","1,480","6,300"
12200 Accounting technicians and bookkeepers,"5,735",660,"5,075"
12201 Insurance adjusters and claims examiners,"1,260",515,740
12202 Insurance underwriters,380,95,290
"12203 Assessors, business valuators and appraisers",405,215,190
13 Administrative occupations and transportation logistics occupations,"22,900","2,565","20,340"
131 Administrative occupations,"22,020","2,100","19,920"
"1310 Administrative, property and payroll officers","10,730","1,580","9,150"
13100 Administrative officers,"7,920",795,"7,130"
13101 Property administrators,"1,475",680,795
13102 Payroll administrators,"1,335",115,"1,225"
"1311 Office administrative assistants - general, legal and medical","11,295",520,"10,775"
13110 Administrative assistants,"8,960",395,"8,565"
13111 Legal administrative assistants,"1,260",80,"1,175"
13112 Medical administrative assistants,"1,080",40,"1,040"
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,880,465,415
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,880,465,415
"13200 Customs, ship and other brokers",30,0,25
13201 Production and transportation logistics coordinators,850,455,390
