Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"32,775","16,185","16,595"
Occupation - not applicable 13,"7,260","3,610","3,650"
All occupations 14,"25,520","12,575","12,945"
0 Legislative and senior management occupations,460,220,240
00 Legislative and senior managers,460,220,240
000 Legislative and senior managers,460,220,240
0001 Legislative and senior managers,460,220,240
00010 Legislators,85,50,40
00018 Seniors managers - public and private sector 15,375,170,205
"1 Business, finance and administration occupations","4,535","1,065","3,470"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",590,225,365
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",590,225,365
1001 Administrative services managers,350,105,245
10010 Financial managers,130,30,100
10011 Human resources managers,85,40,50
10012 Purchasing managers,20,0,15
10019 Other administrative services managers,115,30,85
1002 Managers in financial and business services,210,100,110
"10020 Insurance, real estate and financial brokerage managers",25,20,10
"10021 Banking, credit and other investment managers",65,30,30
"10022 Advertising, marketing and public relations managers",90,45,50
10029 Other business services managers,30,0,20
1003 Managers in communication (except broadcasting),30,30,0
10030 Telecommunication carriers managers,30,30,0
11 Professional occupations in finance and business,660,240,420
111 Professional occupations in finance,200,70,130
"1110 Auditors, accountants and investment professionals",200,70,130
11100 Financial auditors and accountants,100,40,60
11101 Financial and investment analysts,20,0,20
11102 Financial advisors,65,25,40
"11103 Securities agents, investment dealers and brokers",0,0,0
11109 Other financial officers,10,0,0
112 Professional occupations in business,460,170,290
1120 Human resources and business service professionals,460,170,290
11200 Human resources professionals,185,50,140
11201 Professional occupations in business management consulting,100,70,35
"11202 Professional occupations in advertising, marketing and public relations",170,55,115
12 Administrative and financial supervisors and specialized administrative occupations,710,160,545
120 Administrative and financial supervisors,80,35,50
1201 Administrative and financial supervisors,80,35,50
"12010 Supervisors, general office and administrative support workers",30,10,20
"12011 Supervisors, finance and insurance office workers",15,0,20
"12012 Supervisors, library, correspondence and related information workers",10,0,0
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",35,20,15
121 Specialized administrative occupations,370,90,285
1210 Administrative and regulatory occupations,340,85,260
12100 Executive assistants,100,10,85
12101 Human resources and recruitment officers,55,20,35
12102 Procurement and purchasing agents and officers,110,40,70
12103 Conference and event planners,60,10,60
12104 Employment insurance and revenue officers,15,0,10
"1211 Court reporters, transcriptionists, records management technicians and statistical officers",30,0,25
"12110 Court reporters, medical transcriptionists and related occupations",0,0,0
12111 Health information management occupations,10,0,10
12112 Records management technicians,15,0,10
12113 Statistical officers and related research support occupations,0,0,0
"122 Accounting, insurance and related business administrative occupations",255,35,215
"1220 Accounting, insurance and related business administrative occupations",255,35,215
12200 Accounting technicians and bookkeepers,220,20,205
12201 Insurance adjusters and claims examiners,0,0,0
12202 Insurance underwriters,0,0,0
"12203 Assessors, business valuators and appraisers",25,15,10
13 Administrative occupations and transportation logistics occupations,"1,265",165,"1,095"
131 Administrative occupations,"1,250",165,"1,085"
"1310 Administrative, property and payroll officers",655,115,545
13100 Administrative officers,470,55,415
13101 Property administrators,95,35,60
13102 Payroll administrators,85,20,70
"1311 Office administrative assistants - general, legal and medical",595,50,545
13110 Administrative assistants,510,45,465
13111 Legal administrative assistants,40,0,40
13112 Medical administrative assistants,45,0,45
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,15,0,10
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,15,0,10
"13200 Customs, ship and other brokers",0,0,0
13201 Production and transportation logistics coordinators,15,0,10
14 Administrative and financial support and supply chain logistics occupations,"1,310",265,"1,040"
"141 Office, court, and data support occupations",745,70,675
1410 Office support and court services occupations,590,60,530
14100 General office support workers,315,35,275
14101 Receptionists,240,15,220
14102 Personnel clerks,20,0,15
14103 Court clerks and related court services occupations,20,0,20
"1411 Survey, statistical and data entry occupations",155,15,140
14110 Survey interviewers and statistical clerks,80,0,75
14111 Data entry clerks,75,10,65
14112 Desktop publishing operators and related occupations,0,0,0
"142 Financial, insurance and related administrative support workers",285,35,250
"1420 Financial, insurance and related administrative support workers",285,35,250
14200 Accounting and related clerks,275,35,240
"14201 Banking, insurance and other financial clerks",0,0,0
14202 Collection clerks,10,0,10
"143 Library, correspondence and other clerks",65,10,60
"1430 Library, correspondence and other clerks",65,10,60
14300 Library assistants and clerks,30,0,25
"14301 Correspondence, publication and regulatory clerks",40,0,35
"144 Supply chain logistics, tracking and scheduling coordination occupations",215,150,60
"1440 Supply chain logistics, tracking and scheduling coordination occupations",215,150,60
14400 Shippers and receivers,55,35,20
14401 Storekeepers and partspersons,85,70,15
14402 Production logistics workers,25,15,0
14403 Purchasing and inventory control workers,0,0,0
14404 Dispatchers,40,15,25
14405 Transportation route and crew schedulers,10,10,0
2 Natural and applied sciences and related occupations,"1,725","1,200",525
"20 Specialized middle management occupations in engineering, architecture, science and information systems",75,60,10
"200 Specialized middle management occupations in engineering, architecture, science and information systems",75,60,10
"2001 Managers in engineering, architecture, science and information systems",75,60,10
20010 Engineering managers,15,15,0
20011 Architecture and science managers,20,15,10
20012 Computer and information systems managers,40,35,0
21 Professional occupations in natural and applied sciences,880,555,325
211 Professional occupations in natural sciences,310,180,120
2110 Physical science professionals,100,55,40
21100 Physicists and astronomers,0,0,0
21101 Chemists,0,0,0
21102 Geoscientists and oceanographers,100,55,40
21103 Meteorologists and climatologists,0,0,0
21109 Other professional occupations in physical sciences,0,0,0
2111 Life science professionals,150,85,65
21110 Biologists and related scientists,130,65,65
21111 Forestry professionals,15,15,0
"21112 Agricultural representatives, consultants and specialists",10,10,0
2112 Public and environmental health and safety professionals,55,40,20
21120 Public and environmental health and safety professionals,55,40,20
212 Professional occupations in applied sciences (except engineering),385,230,160
"2120 Architects, urban planners and land surveyors",145,85,60
21200 Architects,30,20,10
21201 Landscape architects,0,0,0
21202 Urban and land use planners,60,25,30
21203 Land surveyors,50,35,15
"2121 Mathematicians, statisticians, actuaries and data scientists",10,0,10
"21210 Mathematicians, statisticians and actuaries",10,0,10
21211 Data scientists,0,0,0
2122 Computer and information systems professionals,160,85,70
